date,week,month,season,holiday_flag,promotion_events
2025-01-01,1,1,Winter,1,New Year Sale
2025-01-02,1,1,Winter,0,
2025-01-03,1,1,Winter,0,
2025-01-04,1,1,Winter,0,
2025-01-05,1,1,Winter,0,
2025-01-06,1,1,Winter,0,
2025-01-07,2,1,Winter,0,
2025-01-08,2,1,Winter,0,
2025-01-09,2,1,Winter,0,
2025-01-10,2,1,Winter,0,
2025-01-11,2,1,Winter,0,Winter Clearance
2025-01-12,2,1,Winter,0,Winter Clearance
2025-01-13,3,1,Winter,0,
2025-01-14,3,1,Winter,0,
2025-01-15,3,1,Winter,0,
2025-01-16,3,1,Winter,0,
2025-01-17,3,1,Winter,0,
2025-01-18,3,1,Winter,0,
2025-01-19,3,1,Winter,0,
2025-01-20,4,1,Winter,0,
2025-01-21,4,1,Winter,0,
2025-01-22,4,1,Winter,0,
2025-01-23,4,1,Winter,0,
2025-01-24,4,1,Winter,0,
2025-01-25,4,1,Winter,0,
2025-01-26,5,1,Winter,0,
2025-01-27,5,1,Winter,0,
2025-01-28,5,1,Winter,0,
2025-01-29,5,1,Winter,0,
2025-01-30,5,1,Winter,0,
2025-01-31,5,1,Winter,0,
2025-02-01,5,2,Winter,0,
2025-02-02,5,2,Winter,0,
2025-02-03,6,2,Winter,0,
2025-02-04,6,2,Winter,0,
2025-02-05,6,2,Winter,0,
2025-02-06,6,2,Winter,0,
2025-02-07,6,2,Winter,0,
2025-02-08,6,2,Winter,0,
2025-02-09,6,2,Winter,0,
2025-02-10,7,2,Winter,0,
2025-02-11,7,2,Winter,0,
2025-02-12,7,2,Winter,0,
2025-02-13,7,2,Winter,0,
2025-02-14,7,2,Winter,0,Valentine's Day Sale
2025-02-15,7,2,Winter,0,Valentine's Day Sale
2025-02-16,7,2,Winter,0,Valentine's Day Sale
2025-02-17,8,2,Winter,0,
2025-02-18,8,2,Winter,0,
2025-02-19,8,2,Winter,0,
2025-02-20,8,2,Winter,0,
2025-02-21,8,2,Winter,0,
2025-02-22,8,2,Winter,0,
2025-02-23,8,2,Winter,0,
2025-02-24,9,2,Winter,0,
2025-02-25,9,2,Winter,0,
2025-02-26,9,2,Winter,0,
2025-02-27,9,2,Winter,0,
2025-02-28,9,2,Winter,0,
2025-03-01,9,3,Spring,0,Spring Launch
2025-03-02,9,3,Spring,0,Spring Launch
2025-03-03,10,3,Spring,0,
2025-03-04,10,3,Spring,0,
2025-03-05,10,3,Spring,0,
2025-03-06,10,3,Spring,0,
2025-03-07,10,3,Spring,0,
2025-03-08,10,3,Spring,0,
2025-03-09,10,3,Spring,0,
2025-03-10,11,3,Spring,0,
2025-03-11,11,3,Spring,0,
2025-03-12,11,3,Spring,0,
2025-03-13,11,3,Spring,0,
2025-03-14,11,3,Spring,0,
