store_id,sku_id,stock_on_hand,reorder_point,safety_stock,last_restock_date
ST11,SKU02558,323,72,22,2025-05-17
ST21,SKU01031,236,67,14,2025-06-17
ST26,SKU02129,433,96,34,2025-05-20
ST19,SKU02907,178,34,13,2025-08-03
ST05,SKU01023,333,97,22,2025-07-12
ST08,SKU04475,470,90,29,2025-06-09
ST01,SKU01318,125,24,9,2025-07-25
ST13,SKU00389,212,49,15,2025-08-16
ST25,SKU01675,259,77,32,2025-06-11
ST06,SKU01396,204,57,12,2025-05-06
ST07,SKU04250,348,79,27,2025-05-10
ST22,SKU03592,444,79,38,2025-09-01
ST01,SKU00500,0,54,24,2025-08-25
ST20,SKU02728,245,41,18,2025-06-16
ST08,SKU03428,72,21,5,2025-08-29
ST11,SKU04894,488,93,22,2025-05-26
ST16,SKU01037,0,92,38,2025-09-03
ST21,SKU01152,0,76,32,2025-10-02
ST28,SKU02094,291,62,16,2025-06-01
ST26,SKU04236,377,85,24,2025-06-16
ST19,SKU01042,131,29,12,2025-05-06
ST15,SKU01337,226,60,19,2025-08-15
ST08,SKU02381,0,36,15,2025-09-05
ST09,SKU01034,297,50,17,2025-07-31
ST07,SKU00170,311,70,33,2025-08-12
ST19,SKU01981,179,30,13,2025-05-19
ST15,SKU04491,91,25,10,2025-08-24
ST25,SKU00978,129,22,5,2025-05-31
ST27,SKU03562,393,79,38,2025-06-09
ST25,SKU00749,115,27,10,2025-06-11
ST14,SKU00331,317,59,15,2025-08-15
ST24,SKU03493,308,58,22,2025-08-24
ST22,SKU04652,80,21,9,2025-05-12
ST03,SKU02387,292,77,37,2025-08-09
ST08,SKU04717,202,56,16,2025-05-29
ST08,SKU00516,297,94,29,2025-08-20
ST01,SKU03546,0,42,18,2025-09-25
ST13,SKU00631,528,100,48,2025-06-21
ST12,SKU03375,379,92,45,2025-05-31
ST24,SKU02217,324,59,21,2025-07-20
ST08,SKU01684,154,40,11,2025-08-06
ST01,SKU02728,173,40,10,2025-05-20
ST04,SKU04194,446,92,19,2025-08-07
ST11,SKU00935,176,58,27,2025-06-07
ST28,SKU04551,0,80,39,2025-09-05
ST21,SKU03609,508,97,41,2025-06-03
ST23,SKU02221,152,35,15,2025-06-22
ST09,SKU02094,239,65,25,2025-07-22
ST28,SKU00350,150,31,14,2025-07-22
ST03,SKU02279,435,78,24,2025-07-14
ST18,SKU03311,475,80,28,2025-08-15
ST25,SKU02038,69,22,5,2025-05-26
ST30,SKU00167,221,56,24,2025-06-27
ST09,SKU03491,89,22,10,2025-06-01
ST23,SKU01174,459,83,19,2025-07-08
ST28,SKU03504,457,89,24,2025-08-18
ST11,SKU01874,488,85,36,2025-07-20
ST24,SKU02567,361,65,16,2025-08-25
