date,store_id,sku_id,units_sold,revenue,unit_price,promotion
2025-01-01,ST01,SKU00001,12,9760.92,813.41,0
2025-01-01,ST01,SKU00002,8,563.04,70.38,0
2025-01-01,ST01,SKU00003,5,756.4,151.28,0
2025-01-01,ST02,SKU00004,15,3504.6,233.64,1
2025-01-01,ST02,SKU00005,10,1385.0,138.5,0
2025-01-01,ST03,SKU00006,3,4241.76,1413.92,0
2025-01-01,ST03,SKU00007,20,2595.0,129.75,1
2025-01-01,ST04,SKU00008,8,3936.88,492.11,0
2025-01-01,ST04,SKU00009,15,3777.9,251.86,0
2025-01-01,ST05,SKU00010,5,8013.95,1602.79,0
2025-01-01,ST05,SKU00011,25,3084.0,123.36,0
2025-01-01,ST06,SKU00012,10,8135.2,813.52,1
2025-01-01,ST06,SKU00013,18,9395.1,521.95,0
2025-01-01,ST07,SKU00014,30,4845.0,161.5,0
2025-01-01,ST07,SKU00015,12,3326.88,277.24,0
2025-01-01,ST08,SKU00016,8,27829.2,3478.65,0
2025-01-01,ST08,SKU00017,20,5607.8,280.39,1
2025-01-01,ST09,SKU00018,15,1408.2,93.88,0
2025-01-01,ST09,SKU00019,7,2760.52,394.36,0
2025-01-01,ST10,SKU00020,25,2737.5,109.5,0
2025-01-01,ST10,SKU00021,18,2100.6,116.7,0
2025-01-02,ST01,SKU00022,15,3015.15,201.01,0
2025-01-02,ST01,SKU00023,6,12173.46,2028.91,1
2025-01-02,ST02,SKU00024,10,27110.5,2711.05,0
2025-01-02,ST02,SKU00025,8,19530.8,2441.35,0
2025-01-02,ST03,SKU00026,20,5749.4,287.47,0
2025-01-02,ST03,SKU00027,12,7298.88,608.24,0
2025-01-02,ST04,SKU00028,25,2361.25,94.45,1
2025-01-02,ST04,SKU00029,5,9935.9,1987.18,0
2025-01-02,ST05,SKU00030,15,6035.1,402.34,0
2025-01-02,ST05,SKU00031,10,1514.6,151.46,0
2025-01-03,ST06,SKU00032,30,1557.3,51.91,0
2025-01-03,ST06,SKU00033,8,1316.0,164.5,0
2025-01-03,ST07,SKU00034,6,12631.02,2105.17,1
2025-01-03,ST07,SKU00035,12,2583.84,215.32,0
2025-01-03,ST08,SKU00036,10,1887.9,188.79,0
2025-01-03,ST08,SKU00037,20,2197.2,109.86,0
2025-01-03,ST09,SKU00038,15,5662.8,377.52,0
2025-01-03,ST09,SKU00039,25,3120.75,124.83,0
2025-01-03,ST10,SKU00040,18,3720.6,206.7,0
2025-01-04,ST01,SKU00041,10,24907.4,2490.74,0
2025-01-04,ST01,SKU00042,8,8880.72,1110.09,1
2025-01-04,ST02,SKU00043,15,9230.55,615.37,0
2025-01-04,ST02,SKU00044,20,10515.4,525.77,0
2025-01-04,ST03,SKU00045,12,4232.52,352.71,0
2025-01-04,ST03,SKU00046,8,1232.0,154.0,0
2025-01-04,ST04,SKU00047,10,2894.4,289.44,0
2025-01-04,ST04,SKU00048,25,2792.0,111.68,0
2025-01-04,ST05,SKU00049,15,8763.75,584.25,1
2025-01-04,ST05,SKU00050,30,1022.4,34.08,0
2025-01-05,ST06,SKU00051,18,6061.5,336.75,0
2025-01-05,ST06,SKU00052,10,13721.5,1372.15,0
2025-01-05,ST07,SKU00053,20,6440.4,322.02,0
2025-01-05,ST07,SKU00054,8,16639.76,2079.97,0
2025-01-05,ST08,SKU00055,12,4912.56,409.38,1
2025-01-05,ST08,SKU00056,15,1197.0,79.8,0
2025-01-05,ST09,SKU00057,10,22870.8,2287.08,0
2025-01-05,ST09,SKU00058,25,2375.75,95.03,0
2025-01-05,ST10,SKU00059,20,2449.0,122.45,0
2025-01-06,ST01,SKU00060,15,10862.4,724.16,0
2025-01-06,ST01,SKU00061,8,1998.8,249.85,0
2025-01-06,ST02,SKU00062,12,5993.4,499.45,1
2025-01-06,ST02,SKU00063,10,16125.4,1612.54,0
2025-01-06,ST03,SKU00064,20,4297.2,214.86,0
2025-01-06,ST03,SKU00065,15,14461.8,964.12,0
2025-01-06,ST04,SKU00066,25,5556.25,222.25,0
2025-01-06,ST04,SKU00067,10,4924.6,492.46,0
2025-01-06,ST05,SKU00068,8,2135.52,266.94,0
2025-01-06,ST05,SKU00069,30,7766.7,258.89,1
2025-01-07,ST06,SKU00070,12,8867.4,738.95,0
2025-01-07,ST06,SKU00071,15,4097.85,273.19,0
2025-01-07,ST07,SKU00072,20,6545.0,327.25,0
2025-01-07,ST07,SKU00073,8,9728.16,1216.02,0
2025-01-07,ST08,SKU00074,25,4937.5,197.5,0
2025-01-07,ST08,SKU00075,10,36975.8,3697.58,1
2025-01-07,ST09,SKU00076,15,4593.75,306.25,0
2025-01-07,ST09,SKU00077,12,18753.84,1562.82,0
2025-01-07,ST10,SKU00078,20,16410.6,820.53,0
2025-01-08,ST01,SKU00079,10,1979.0,197.9,0
2025-01-08,ST01,SKU00080,25,2130.75,85.23,0
2025-01-08,ST02,SKU00081,15,1735.35,115.69,0
2025-01-08,ST02,SKU00082,20,9603.2,480.16,1
2025-01-08,ST03,SKU00083,12,4002.48,333.54,0
2025-01-08,ST03,SKU00084,8,10469.12,1308.64,0
2025-01-08,ST04,SKU00085,25,9317.0,372.68,0
2025-01-08,ST04,SKU00086,10,27860.1,2786.01,0
2025-01-08,ST05,SKU00087,15,3466.5,231.1,0
2025-01-08,ST05,SKU00088,30,4458.6,148.62,0
2025-01-09,ST06,SKU00089,20,6325.4,316.27,0
2025-01-09,ST06,SKU00090,12,7423.56,618.63,1
2025-01-09,ST07,SKU00091,25,5591.0,223.64,0
2025-01-09,ST07,SKU00092,10,8098.8,809.88,0
2025-01-09,ST08,SKU00093,15,3247.8,216.52,0
2025-01-09,ST08,SKU00094,8,8552.56,1069.07,0
2025-01-09,ST09,SKU00095,20,13936.4,696.82,0
2025-01-09,ST09,SKU00096,12,2523.0,210.25,0
2025-01-09,ST10,SKU00097,25,27592.75,1103.71,0
2025-01-10,ST01,SKU00098,15,4590.0,306.0,0
2025-01-10,ST01,SKU00099,10,16719.9,1671.99,0
2025-01-10,ST02,SKU00100,20,9310.6,465.53,1
2025-01-10,ST02,SKU00101,12,1470.84,122.57,0
2025-01-10,ST03,SKU00102,25,2794.25,111.77,0
2025-01-10,ST03,SKU00103,15,2695.5,179.7,0
2025-01-10,ST04,SKU00104,8,3119.12,389.89,0
2025-01-10,ST04,SKU00105,20,10060.0,503.0,0
2025-01-10,ST05,SKU00106,30,6024.0,200.8,0
2025-01-10,ST05,SKU00107,12,30141.36,2511.78,0
2025-01-11,ST06,SKU00108,25,2051.75,82.07,1
2025-01-11,ST06,SKU00109,10,1026.7,102.67,0
2025-01-11,ST07,SKU00110,15,4303.05,286.87,0
2025-01-11,ST07,SKU00111,8,18504.8,2316.85,0
2025-01-11,ST08,SKU00112,20,4377.8,218.89,0
2025-01-11,ST08,SKU00113,12,1638.6,136.55,0
2025-01-11,ST09,SKU00114,25,4245.75,169.83,0
2025-01-11,ST09,SKU00115,10,458.2,45.82,0
2025-01-11,ST10,SKU00116,15,4756.8,317.12,0
2025-01-12,ST01,SKU00117,20,5179.2,258.96,0
2025-01-12,ST01,SKU00118,25,7242.25,289.69,1
2025-01-12,ST02,SKU00119,12,11567.28,963.94,0
2025-01-12,ST02,SKU00120,30,14769.6,492.32,0
2025-01-12,ST03,SKU00121,8,1562.24,195.28,0
2025-01-12,ST03,SKU00122,15,2399.7,159.98,0
2025-01-12,ST04,SKU00123,20,1982.6,99.13,0
2025-01-12,ST04,SKU00124,25,8642.0,345.68,0
2025-01-12,ST05,SKU00125,12,5733.0,477.75,0
2025-01-12,ST05,SKU00126,10,2534.4,253.44,1
2025-01-13,ST06,SKU00127,15,3355.35,223.69,0
2025-01-13,ST06,SKU00128,20,14839.4,741.97,0
2025-01-13,ST07,SKU00129,25,5429.5,217.18,0
2025-01-13,ST07,SKU00130,8,2897.44,362.18,0
2025-01-13,ST08,SKU00131,30,3577.2,119.24,0
2025-01-13,ST08,SKU00132,12,5508.72,459.06,0
2025-01-13,ST09,SKU00133,10,17229.3,1722.93,0
2025-01-13,ST09,SKU00134,25,4996.5,199.86,1
2025-01-14,ST10,SKU00135,15,2872.8,191.52,0
2025-01-14,ST10,SKU00136,20,9947.4,497.37,0
2025-01-14,ST01,SKU00137,12,1745.16,145.43,0
2025-01-14,ST01,SKU00138,25,16710.0,668.4,0
2025-01-14,ST02,SKU00139,8,6326.56,790.82,0
2025-01-14,ST02,SKU00140,30,4443.3,148.11,0
2025-01-14,ST03,SKU00141,15,39043.95,2602.93,0
2025-01-14,ST03,SKU00142,20,2700.6,135.03,1
2025-01-14,ST04,SKU00143,25,1600.0,64.0,0
2025-01-14,ST04,SKU00144,12,2241.36,186.78,0
2025-01-15,ST05,SKU00145,10,4782.6,478.26,0
2025-01-15,ST05,SKU00146,15,10551.9,703.46,0
2025-01-15,ST06,SKU00147,20,15575.8,778.79,0
2025-01-15,ST06,SKU00148,25,8932.0,357.28,0
2025-01-15,ST07,SKU00149,30,4490.7,149.69,1
2025-01-15,ST07,SKU00150,8,2129.12,266.14,0
2025-01-15,ST08,SKU00151,12,2422.32,201.86,0
2025-01-15,ST08,SKU00152,20,36606.2,1830.31,0
2025-01-15,ST09,SKU00153,25,4606.25,184.25,0
2025-01-15,ST09,SKU00154,10,22793.8,2279.38,0
2025-01-16,ST10,SKU00155,15,8786.7,585.78,0
2025-01-16,ST10,SKU00156,20,3286.0,164.3,0
2025-01-16,ST01,SKU00157,25,2969.0,118.76,0
2025-01-16,ST01,SKU00158,8,3903.84,487.98,1
2025-01-16,ST02,SKU00159,30,6927.9,230.93,0
2025-01-16,ST02,SKU00160,12,2424.72,202.06,0
2025-01-16,ST03,SKU00161,15,7526.55,501.77,0
2025-01-16,ST03,SKU00162,20,55605.2,2780.26,0
2025-01-16,ST04,SKU00163,25,3791.75,151.67,0
2025-01-16,ST04,SKU00164,8,911.92,113.99,0
2025-01-17,ST05,SKU00165,30,2574.3,85.81,0
2025-01-17,ST05,SKU00166,12,9969.24,830.77,1
2025-01-17,ST06,SKU00167,20,51939.0,2596.95,0
2025-01-17,ST06,SKU00168,15,33514.8,2234.32,0
2025-01-17,ST07,SKU00169,25,2384.25,95.37,0
2025-01-17,ST07,SKU00170,8,9930.32,1241.29,0
2025-01-17,ST08,SKU00171,12,3048.95,253.93,0
2025-01-17,ST08,SKU00172,30,3365.4,112.18,0
2025-01-17,ST09,SKU00173,15,16450.2,1096.68,0
2025-01-17,ST09,SKU00174,20,12774.4,638.72,0
2025-01-18,ST10,SKU00175,25,4559.0,182.36,1
2025-01-18,ST10,SKU00176,8,360.64,45.08,0
2025-01-18,ST01,SKU00177,30,3439.5,114.65,0
2025-01-18,ST01,SKU00178,12,6327.84,527.32,0
2025-01-18,ST02,SKU00179,20,1707.2,85.36,0
2025-01-18,ST02,SKU00180,25,19268.0,770.72,0
2025-01-18,ST03,SKU00181,8,2519.6,314.95,0
2025-01-18,ST03,SKU00182,15,2681.1,178.74,0
2025-01-18,ST04,SKU00183,10,2520.7,252.07,0
2025-01-18,ST04,SKU00184,30,26986.5,899.55,0
2025-01-18,ST05,SKU00185,12,5816.76,484.73,1
2025-01-18,ST05,SKU00186,25,46571.0,1862.84,0
2025-01-18,ST06,SKU00187,20,5048.8,252.44,0
2025-01-18,ST06,SKU00188,8,1611.28,201.41,0
2025-01-18,ST07,SKU00189,30,2079.0,69.3,0
2025-01-18,ST07,SKU00190,12,1745.04,145.42,0
2025-01-18,ST08,SKU00191,15,8863.05,590.87,0
2025-01-18,ST08,SKU00192,20,3315.6,165.78,0
2025-01-19,ST09,SKU00193,25,7713.75,308.55,0
2025-01-19,ST09,SKU00194,8,4197.84,524.73,1
2025-01-19,ST10,SKU00195,30,34189.5,1139.65,0
2025-01-19,ST10,SKU00196,12,1091.76,90.98,0
2025-01-19,ST01,SKU00197,20,6612.4,330.62,0
2025-01-19,ST01,SKU00198,25,8511.5,340.46,0
2025-01-19,ST02,SKU00199,8,496.64,62.08,0
2025-01-19,ST02,SKU00200,30,4049.7,134.99,0
2025-01-19,ST03,SKU00201,12,10179.84,848.32,0
2025-01-19,ST03,SKU00202,15,5247.9,349.86,0
2025-01-19,ST04,SKU00203,20,3633.6,181.68,1
2025-01-19,ST04,SKU00204,25,15330.25,613.21,0
2025-01-19,ST05,SKU00205,8,1783.12,222.89,0
2025-01-19,ST05,SKU00206,30,6532.8,217.76,0
2025-01-20,ST06,SKU00207,12,1169.4,97.45,0
2025-01-20,ST06,SKU00208,15,17444.1,1162.94,0
2025-01-20,ST07,SKU00209,20,1772.6,88.63,0
2025-01-20,ST07,SKU00210,25,88921.25,3556.85,0
2025-01-20,ST08,SKU00211,8,9491.68,1189.16,0
2025-01-20,ST08,SKU00212,30,10469.4,348.98,1
2025-01-20,ST09,SKU00213,12,1389.12,115.76,0
2025-01-20,ST09,SKU00214,25,9804.5,392.18,0
2025-01-20,ST10,SKU00215,20,2040.6,102.03,0
2025-01-20,ST10,SKU00216,15,10176.0,678.4,0
2025-01-21,ST01,SKU00217,25,7258.25,290.33,0
2025-01-21,ST01,SKU00218,8,1839.52,229.94,0
2025-01-21,ST02,SKU00219,30,4230.0,141.0,0
2025-01-21,ST02,SKU00220,12,8797.08,733.09,1
2025-01-21,ST03,SKU00221,15,8672.4,578.16,0
2025-01-21,ST03,SKU00222,20,9845.2,492.26,0
2025-01-21,ST04,SKU00223,25,5435.5,217.42,0
2025-01-21,ST04,SKU00224,8,1294.88,161.86,0
2025-01-21,ST05,SKU00225,30,37007.4,1233.58,0
2025-01-21,ST05,SKU00226,12,891.36,74.28,0
2025-01-21,ST06,SKU00227,20,57024.4,2851.22,0
2025-01-21,ST06,SKU00228,15,44340.75,2956.05,0
2025-01-21,ST07,SKU00229,25,10545.5,421.82,1
2025-01-21,ST07,SKU00230,8,932.48,116.56,0
2025-01-21,ST08,SKU00231,30,4619.4,153.98,0
2025-01-21,ST08,SKU00232,12,1153.56,96.13,0
2025-01-21,ST09,SKU00233,15,1812.6,120.84,0
2025-01-21,ST09,SKU00234,20,2000.0,100.0,0
2025-01-21,ST10,SKU00235,25,3993.0,159.72,0
2025-01-22,ST01,SKU00236,8,833.92,104.24,0
2025-01-22,ST01,SKU00237,30,2857.2,95.24,1
2025-01-22,ST02,SKU00238,12,21191.08,1766.09,0
2025-01-22,ST02,SKU00239,25,26943.5,1077.74,0
2025-01-22,ST03,SKU00240,20,2861.6,143.08,0
2025-01-22,ST03,SKU00241,15,25659.0,1710.6,0
2025-01-22,ST04,SKU00242,8,1747.92,218.49,0
2025-01-22,ST04,SKU00243,30,14517.0,483.9,0
2025-01-22,ST05,SKU00244,12,9001.8,750.15,0
2025-01-22,ST05,SKU00245,25,100631.5,4025.26,0
2025-01-22,ST06,SKU00246,20,20424.4,1021.22,1
2025-01-22,ST06,SKU00247,15,3604.95,240.33,0
2025-01-22,ST07,SKU00248,8,450.48,56.31,0
2025-01-22,ST07,SKU00249,30,7301.4,243.38,0
2025-01-22,ST08,SKU00250,12,9672.3,322.41,0
2025-01-22,ST08,SKU00251,25,3595.75,143.83,0
2025-01-22,ST09,SKU00252,20,40120.6,2006.03,0
2025-01-22,ST09,SKU00253,15,4190.7,279.38,0
2025-01-22,ST10,SKU00254,8,844.4,105.55,0
2025-01-23,ST01,SKU00255,30,4765.8,158.86,0
2025-01-23,ST01,SKU00256,12,9266.04,772.17,1
2025-01-23,ST02,SKU00257,15,4616.25,307.75,0
2025-01-23,ST02,SKU00258,20,1839.6,91.98,0
2025-01-23,ST03,SKU00259,25,6237.0,249.48,0
2025-01-23,ST03,SKU00260,8,1117.92,139.74,0
2025-01-23,ST04,SKU00261,30,1865.4,62.18,0
2025-01-23,ST04,SKU00262,12,2051.04,170.92,0
2025-01-23,ST05,SKU00263,15,6645.15,443.51,0
2025-01-23,ST05,SKU00264,20,4854.8,242.74,0
2025-01-23,ST06,SKU00265,25,6155.75,246.23,0
2025-01-23,ST06,SKU00266,8,34355.36,4319.42,1
2025-01-23,ST07,SKU00267,30,3796.5,126.55,0
2025-01-23,ST07,SKU00268,12,1988.4,165.9,0
2025-01-23,ST08,SKU00269,15,2560.95,170.73,0
2025-01-23,ST08,SKU00270,20,10430.8,521.54,0
2025-01-23,ST09,SKU00271,25,1757.4,70.38,0
2025-01-23,ST09,SKU00272,8,24545.6,1227.28,0
2025-01-23,ST10,SKU00273,30,12096.9,403.23,0
2025-01-24,ST01,SKU00274,12,21336.0,1778.33,0
2025-01-24,ST01,SKU00275,15,55068.75,3671.25,1
2025-01-24,ST02,SKU00276,20,1005.4,50.27,0
2025-01-24,ST02,SKU00277,25,14641.0,585.64,0
2025-01-24,ST03,SKU00278,8,14462.52,1807.84,0
2025-01-24,ST03,SKU00279,30,3294.0,109.8,0
2025-01-24,ST04,SKU00280,12,4696.4,469.64,0
2025-01-24,ST04,SKU00281,15,2641.05,176.07,0
2025-01-24,ST05,SKU00282,20,61916.6,3095.83,0
2025-01-24,ST05,SKU00283,25,14003.25,560.13,0
2025-01-24,ST06,SKU00284,8,1116.08,139.51,0
2025-01-24,ST06,SKU00285,30,15170.1,505.67,0
2025-01-24,ST07,SKU00286,12,773.4,64.45,1
2025-01-24,ST07,SKU00287,15,13220.55,881.37,0
2025-01-24,ST08,SKU00288,20,2180.0,109.0,0
2025-01-24,ST08,SKU00289,25,13484.25,539.37,0
2025-01-24,ST09,SKU00290,8,1884.48,235.81,0
2025-01-24,ST09,SKU00291,30,5713.2,190.44,0
2025-01-24,ST10,SKU00292,12,2529.78,210.98,0
2025-01-24,ST10,SKU00293,15,1980.3,132.02,0
2025-01-25,ST01,SKU00294,20,4700.4,235.02,0
2025-01-25,ST01,SKU00295,25,25669.5,1026.78,1
2025-01-25,ST02,SKU00296,8,5482.32,685.29,0
2025-01-25,ST02,SKU00297,30,5175.6,172.52,0
2025-01-25,ST03,SKU00298,12,11491.8,383.06,0
2025-01-25,ST03,SKU00299,15,12630.9,842.06,0
2025-01-25,ST04,SKU00300,20,2011.0,100.55,0
2025-01-25,ST04,SKU00301,25,7922.25,316.89,0
2025-01-25,ST05,SKU00302,8,8997.3,299.91,0
2025-01-25,ST05,SKU00303,30,7720.5,257.35,0
